case,variable,count,max_absolute_error,max_absolute_reference,relative_peak_error
finite_contact_first_increment,time_whole,2,0.0,0.025,0.0
finite_contact_first_increment,vals_nod_var1,176,0.0,400.0,0.0
finite_contact_first_increment,vals_nod_var2,176,0.0,0.0005,0.0
finite_contact_first_increment,vals_nod_var3,176,0.0,0.000125,0.0
finite_contact_first_increment,vals_nod_var4,176,0.0,3.387494391638382e-06,0.0
finite_contact_first_increment,vals_nod_var5,26,0.0,4.267825918242219e-06,0.0
finite_contact_first_increment,vals_nod_var6,26,0.0,360549.2329107736,0.0
finite_contact_first_increment,vals_nod_var7,26,0.0,47031.83796706707,0.0
finite_contact_first_increment,vals_nod_var8,26,0.0,3.9564999145064965e-06,0.0
finite_contact_first_increment,vals_nod_var9,26,0.0,0.0,0.0
finite_contact_first_increment,vals_nod_var10,26,0.0,1.0,0.0
finite_contact_first_increment,vals_nod_var11,26,0.0,3.0,0.0
finite_contact_first_increment,vals_nod_var12,26,0.0,0.41666666666666685,0.0
finite_contact_first_increment,vals_nod_var13,26,0.0,166290.3871073601,0.0
finite_contact_first_increment,vals_nod_var14,26,0.0,426782.5918242219,0.0
finite_contact_first_increment,vals_nod_var15,26,0.0,1.0,0.0
finite_contact_first_increment,vals_nod_var16,26,0.0,2.0000582570663967,0.0
finite_contact_first_increment,vals_nod_var17,26,0.0,1.0000033874943917,0.0
finite_contact_first_increment,vals_nod_var18,26,0.0,166290.38702030355,0.0
finite_contact_first_increment,vals_nod_var19,26,0.0,7.552437733078993,0.0
finite_contact_first_increment,vals_nod_var20,26,0.0,0.16996792544226266,0.0
finite_contact_first_increment,vals_nod_var21,26,0.0,0.16484399483718193,0.0
finite_contact_first_increment,vals_nod_var22,26,0.0,16325.921253227765,0.0
finite_contact_first_increment,vals_nod_var23,26,0.0,147.37102280082274,0.0
finite_contact_first_increment,vals_nod_var24,26,0.0,3.0017541836758957e-10,0.0
finite_contact_first_increment,vals_nod_var25,26,0.0,3.9564927040612675e-06,0.0
finite_contact_first_increment,vals_nod_var26,26,0.0,5.054522293362138e-07,0.0
finite_contact_first_increment,vals_nod_var27,26,0.0,3.0017541836758947e-10,0.0
finite_contact_first_increment,vals_nod_var28,26,0.0,3.9564927040612675e-06,0.0
finite_contact_first_increment,vals_nod_var29,26,0.0,5.054522293362138e-07,0.0
finite_contact_first_increment,vals_nod_var30,26,0.0,17336.397991597103,0.0
finite_contact_first_increment,vals_nod_var31,64,0.0,81.4357881775469,0.0
