disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,-0.0001,-0.0001
-8.3543084560552e-05,2.5295544462202e-06,-2.2347557384563e-05,1,0.01,-0.0001,-0.0001
-0.00011205636702501,4.6989776879788e-05,-2.211263568882e-05,2,0.01,0.0101,-0.0001
0,0,0,3,0,0.0101,-0.0001
0,0,0,4,0,-0.0001,0.0101
-8.3543084560475e-05,2.5295544462321e-06,2.2347557384548e-05,5,0.01,-0.0001,0.0101
-0.00011205636702504,4.6989776880129e-05,2.211263568883e-05,6,0.01,0.0101,0.0101
0,0,0,7,0,0.0101,0.0101
-8.4852840238713e-05,3.0018135168725e-06,-2.1901639073691e-05,8,0.01,0,0
-0.0002,5e-05,0,9,0.02,0,0
-0.0002,5e-05,0,10,0.02,0.01,0
-0.00011280962568948,4.6605038293673e-05,-2.1701558391503e-05,11,0.01,0.01,0
-8.4852840238641e-05,3.0018135168624e-06,2.1901639073703e-05,12,0.01,0,0.01
-0.0002,5e-05,0,13,0.02,0,0.01
-0.0002,5e-05,0,14,0.02,0.01,0.01
-0.00011280962568951,4.6605038293318e-05,2.1701558391497e-05,15,0.01,0.01,0.01
