effective_creep_strain,effective_plastic_strain,id,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,x,y,z
2.5820347250061e-07,0.00098934831339357,0,201978696.62679,-1.0664947091439e-09,-5.3510828433959e-08,-9.1269612312317e-08,5.4502407949513e-09,6.3329935073853e-08,0.0005,0.0005,0.000125
2.5820347250061e-07,0.00098934831339357,1,201978696.62679,-1.0203111786708e-09,-7.0691032230015e-08,-1.0337680578232e-07,1.2273672063469e-08,-6.5192580223083e-08,0.0015,0.0005,0.000125
2.5820347250061e-07,0.00098934831339357,2,201978696.62679,1.8771968151633e-08,9.4178419890731e-08,-7.5437128543854e-08,1.804090976483e-08,-3.3527612686157e-08,0.0025,0.0005,0.000125
2.5820347250061e-07,0.00098934831339357,3,201978696.62679,1.3032891420873e-09,1.2382540003341e-07,-2.0489096641541e-08,-8.6592256476577e-09,0,0.0035,0.0005,0.000125
2.5820347250061e-07,0.00098934831339357,4,201978696.62679,4.2129195490146e-09,-5.6614805848536e-08,3.6321580410004e-08,9.5463016184633e-09,1.862645149231e-09,0.0045,0.0005,0.000125
2.5820347250061e-07,0.00098934831339358,5,201978696.62679,3.7210140668567e-09,1.4727764351231e-07,-1.322478055954e-07,-1.2681197379831e-08,-2.346932888031e-07,0.0055,0.0005,0.000125
2.5820347250061e-07,0.00098934831339357,6,201978696.62679,6.8709053610272e-09,-1.0671032647872e-07,2.3283064365387e-08,-1.6274595468184e-09,8.7544322013855e-08,0.0065,0.0005,0.000125
2.5820347250059e-07,0.00098934831339357,7,201978696.62679,1.3138908931849e-08,4.111308577414e-07,-2.8964132070541e-07,2.1741510002203e-08,-2.4028122425079e-07,0.0075,0.0005,0.000125
2.5820347250058e-07,0.00098934831339357,8,201978696.62679,5.4233958253207e-08,5.5891127867948e-07,-3.7252902984619e-09,4.6534338929023e-10,-1.3969838619232e-07,0.0085,0.0005,0.000125
2.5820347250061e-07,0.00098934831339356,9,201978696.62679,2.0953448648963e-07,-1.1419510648127e-07,-1.9371509552002e-07,-1.2621767902397e-08,-5.3830444812775e-07,0.0095,0.0005,0.000125
2.5820347250048e-07,0.00098934831339353,10,201978696.62679,1.3670984760095e-07,1.324425020908e-07,-4.3399631977081e-07,1.0276042050193e-08,-5.774199962616e-08,0.0105,0.0005,0.000125
2.5820347249957e-07,0.00098934831339348,11,201978696.62679,-5.5796845954876e-08,2.3284820966739e-08,-1.5534460544586e-06,4.1344218461769e-08,1.9539147615433e-06,0.0115,0.0005,0.000125
2.5820347250061e-07,0.00098934831339357,12,201978696.62679,-7.7093608477896e-09,1.2083290449717e-08,-1.3038516044617e-07,1.0265611350198e-08,-8.7544322013855e-08,0.0005,0.0015,0.000125
2.5820347250061e-07,0.00098934831339357,13,201978696.62679,-8.1148498140804e-09,6.6697610449968e-08,-1.2293457984924e-07,2.8787202820986e-08,-7.6368451118469e-08,0.0015,0.0015,0.000125
2.5820347250061e-07,0.00098934831339357,14,201978696.62679,2.7017700182993e-08,-1.0117896647981e-08,-8.6612999439239e-08,-2.5344720551968e-08,-7.6368451118469e-08,0.0025,0.0015,0.000125
2.5820347250061e-07,0.00098934831339357,15,201978696.62679,1.1289148669164e-08,1.3057186812987e-07,3.8184225559235e-08,1.694529800917e-08,-1.4901161193848e-08,0.0035,0.0015,0.000125
2.5820347250061e-07,0.00098934831339357,16,201978696.62679,4.2443230934771e-08,6.4230213487835e-08,5.5879354476929e-08,1.4362767682626e-08,5.2154064178467e-08,0.0045,0.0015,0.000125
2.5820347250061e-07,0.00098934831339357,17,201978696.62679,1.7922739065217e-08,2.0626299119307e-07,5.5879354476929e-08,-1.0216059873123e-08,-4.6566128730774e-08,0.0055,0.0015,0.000125
2.5820347250061e-07,0.00098934831339357,18,201978696.62679,4.5076972493805e-08,-1.9070974859217e-07,-3.1013041734695e-07,8.0323523288151e-10,-2.8312206268311e-07,0.0065,0.0015,0.000125
2.582034725006e-07,0.00098934831339357,19,201978696.62679,-5.9959150932599e-08,6.714935845574e-07,-2.5145709514618e-08,-3.0340885292978e-09,0,0.0075,0.0015,0.000125
2.5820347250059e-07,0.00098934831339357,20,201978696.62679,-5.3080075326615e-08,8.5140431271059e-08,1.8719583749771e-07,-2.163839511807e-08,-5.4016709327698e-08,0.0085,0.0015,0.000125
2.5820347250062e-07,0.00098934831339356,21,201978696.62679,-7.1019166388605e-08,-2.1094498556074e-07,-1.2107193470001e-08,1.9733329315285e-09,-3.2410025596619e-07,0.0095,0.0015,0.000125
2.5820347250048e-07,0.00098934831339354,22,201978696.62679,1.9464909355799e-07,-5.1366767173769e-08,2.5145709514618e-08,-3.0584965157338e-08,2.2538006305695e-07,0.0105,0.0015,0.000125
