disp_x,disp_y,disp_z,id,x,y,z
0,0,0,0,0,-0.0001,-0.0001
-1.0131940648884e-05,6.5141043058294e-08,7.3124394308112e-08,1,0.01,-0.0001,-0.0001
-1.0131940697324e-05,-6.5141025990941e-08,7.3124380433844e-08,2,0.01,0.0101,-0.0001
0,0,0,3,0,0.0101,-0.0001
0,0,0,4,0,-0.0001,0.0101
-1.013194067361e-05,6.514103321182e-08,-7.3124394830319e-08,5,0.01,-0.0001,0.0101
-1.013194067136e-05,-6.5141027675916e-08,-7.312439250179e-08,6,0.01,0.0101,0.0101
0,0,0,7,0,0.0101,0.0101
-5.0659703276955e-06,-1.569149692511e-08,-1.0737152112582e-08,8,0.005,-0.0001,-0.0001
-1.0251289949527e-05,8.5328677947172e-15,6.5663602765711e-08,9,0.01,0.005,-0.0001
-5.0659703454027e-06,1.5691498190627e-08,-1.0737148954762e-08,10,0.005,0.0101,-0.0001
0,0,0,11,0,0.005,-0.0001
0,0,0,12,0,-0.0001,0.005
-1.0250573739245e-05,7.2601991625124e-08,-2.6322289738969e-16,13,0.01,-0.0001,0.005
-1.025057374529e-05,-7.2601980012571e-08,-6.0336172201118e-15,14,0.01,0.0101,0.005
0,0,0,15,0,0.0101,0.005
-5.0659703335495e-06,-1.5691494583423e-08,1.0737149012275e-08,16,0.005,-0.0001,0.0101
-1.0251289940324e-05,2.7675245510563e-15,-6.5663608904124e-08,17,0.01,0.005,0.0101
-5.0659703389416e-06,1.569149887023e-08,1.0737148868605e-08,18,0.005,0.0101,0.0101
0,0,0,19,0,0.005,0.0101
-9.1411340257653e-06,-6.6680885261582e-08,-6.6279908765243e-08,20,0.009999,0,0
-2e-05,0,0,21,0.019999,0,0
-2e-05,0,0,22,0.019999,0.01,0
-9.1411340721262e-06,6.6680868670733e-08,-6.6279895667183e-08,23,0.009999,0.01,0
-9.1411340491921e-06,-6.6680875887903e-08,6.6279909693162e-08,24,0.009999,0,0.01
-2e-05,0,0,25,0.019999,0,0.01
-2e-05,0,0,26,0.019999,0.01,0.01
-9.1411340468278e-06,6.6680870368126e-08,6.6279907568072e-08,27,0.009999,0.01,0.01
-1.4570567016098e-05,1.2566069823972e-08,1.2488475923416e-08,28,0.014999,0,0
-2e-05,0,0,29,0.019999,0.005,0
-1.4570567032845e-05,-1.2566071075628e-08,1.248847288024e-08,30,0.014999,0.01,0
-9.2558767272701e-06,-8.2941447848785e-15,-6.4970271106458e-08,31,0.009999,0.005,0
-9.2551868904604e-06,-6.5370356786461e-08,4.6339165808655e-16,32,0.009999,0,0.005
-2e-05,0,0,33,0.019999,0,0.005
-2e-05,0,0,34,0.019999,0.01,0.005
-9.2551868963916e-06,6.5370345426541e-08,5.9513520966767e-15,35,0.009999,0.01,0.005
-1.4570567021387e-05,1.2566067581851e-08,-1.2488472819481e-08,36,0.014999,0,0.01
-2e-05,0,0,37,0.019999,0.005,0.01
-1.4570567026626e-05,-1.2566071742068e-08,-1.248847273392e-08,38,0.014999,0.01,0.01
-9.2558767182456e-06,-2.7644884422467e-15,6.4970277368592e-08,39,0.009999,0.005,0.01
