scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,zero_absolute_tolerance,strict_0_1_percent_passed
all_frames,temperature_corner,32340,0.00120728733606996,0.0017959304840639292,0.01107274880037422,0.06702388279450133,t=0.300000011921 node=73,605.3048254127842,0.06702388279450133,t=0.300000011921 node=73,0,0.0,1e-10,1
final,temperature_corner,1617,0.003298191562065809,0.0017959304840639292,0.008909145841147891,0.056222957150680486,t=1 node=25,631.0701177548183,0.056222957150680486,t=1 node=25,0,0.0,1e-10,1
all_frames,temperature_interpolated,87040,0.0011043697448416365,0.0018063037350888162,0.011072745299552225,0.06702386160475271,t=0.300000011921 node=1950,605.3048254208747,0.06702386160475271,t=0.300000011921 node=1950,0,0.0,1e-10,1
final,temperature_interpolated,4352,0.0030656547915922,0.0018063037350888162,0.00890890622926487,0.056221438971533644,t=1 node=2041,631.0700497312657,0.056221438971533644,t=1 node=2041,0,0.0,1e-10,1
all_frames,displacement,119380,3.7718929509960165e-05,0.00011897009711189687,100.0,7.138238235096864e-10,t=0.0500000007451 node=802,6.862248352629374e-37,6.862248352629374e-37,t=1 node=35,0,0.0,1e-12,0
final,displacement,5969,6.595571458382754e-05,0.00011897009711189687,100.0,7.138238235096864e-10,t=1 node=802,1.0990889165561269e-35,1.0990889165561269e-35,t=1 node=35,0,0.0,1e-12,0
all_frames,reaction,119380,0.0772006875590773,0.14238778839303212,12176.161644340069,0.06609214014067177,t=0.850000023842 node=1,4.2075314154656634e-13,5.1231582638348884e-11,t=1 node=3661,103980,0.00048717840368655733,1e-05,0
final,reaction,5969,0.12253402232701165,0.14238778839303212,8701.600563033571,0.06609214014067177,t=1 node=1,5.672027623423531e-13,4.935571876152416e-11,t=1 node=3661,5199,2.1081365239403072e-10,1e-05,0
all_frames,heat_reaction,32340,0.13040338196671,0.16590778935435685,6.495522226706905,0.00020559389654186723,t=0.25 node=827,0.0001532482406488943,9.954273533386215e-06,t=0.300000011921 node=969,26900,4.672853122782324e-10,1e-07,0
final,heat_reaction,1617,0.16632456934130224,0.16590778935435685,0.16915679556274263,0.0001282896645716236,t=1 node=1092,0.07450837135471672,0.00012603597340962724,t=1 node=1140,1345,6.102757188486407e-15,1e-07,0
all_frames,contact_gap,8320,0.0018123756103886372,0.0012423927036458984,0.42358460940441534,3.527302906494858e-10,t=0.300000011921 node=140,5.297925740724042e-08,2.2441198055381912e-10,t=1 node=1846,0,0.0,1e-10,0
final,contact_gap,416,0.002105555563708838,0.0012423927036458984,0.005994426859044662,3.527302906494858e-10,t=1 node=1846,5.8843038532911685e-06,3.527302906494858e-10,t=1 node=1846,0,0.0,1e-10,1
all_frames,contact_pressure,8320,0.0017242833239809049,0.001097628599451325,0.2857118645137633,3.149812820411171,t=0.300000011921 node=1846,288.5833900809365,0.8245169844772704,t=1 node=114,1808,0.0,0.0001,0
final,contact_pressure,416,0.0020743671048703174,0.001097628599451325,0.005890491250107832,3.149812820411171,t=1 node=51,47171.865207910756,2.778654592584644,t=1 node=114,0,0.0,0.0001,1
all_frames,contact_normal_force,8320,0.001654912483067177,0.003395840771869974,0.1934826243499275,2.1525403556671576e-06,t=0.300000011921 node=1846,0.0001781126417211088,3.446170135009852e-07,t=1 node=1846,1712,0.0,1e-05,0
final,contact_normal_force,416,0.0019789826028425005,0.003395840771869974,0.005629697189370278,2.1525403556671576e-06,t=1 node=1844,0.018925443014935057,1.0654451334876724e-06,t=1 node=1846,0,0.0,1e-05,1
all_frames,contact_tangential_force,8320,14.39412875186909,46.78982826707719,47.197526704650315,5.931777203832325e-05,t=1 node=2181,0.00010756163300961462,5.0766430463670834e-05,t=1 node=2952,1712,0.0,1e-05,0
final,contact_tangential_force,416,14.450709123196301,46.78982826707719,47.197526704650315,5.931777203832325e-05,t=1 node=2181,0.00010756163300961462,5.0766430463670834e-05,t=1 node=2952,0,0.0,1e-05,0
all_frames,contact_slip,8320,28.57041886678363,99.99042689791993,100.00051986610853,0.0005320631547060401,t=0.25 node=381,3.9286720172805596e-05,3.928692441114893e-05,t=1 node=203,0,0.0,1e-12,0
final,contact_slip,416,28.572835425595972,99.99042689791993,100.00034961324036,0.0005320631547060401,t=1 node=737,0.0005239226081445239,0.0005239244398473312,t=1 node=203,0,0.0,1e-12,0
all_frames,contact_heat_rate,20,0.12719262517998575,0.17580562904877506,3.358881491087079,0.02522890810155154,t=0.15000000596,0.5431032401933267,0.01824219421234785,t=1,0,0.0,1e-07,0
final,contact_heat_rate,1,0.17580562904877506,0.17580562904877506,0.17580562904877506,0.02522890810155154,t=1,14.35045523744413,0.02522890810155154,t=1,0,0.0,1e-07,0
all_frames,fuel_stress,102400,0.07077402076460397,0.10104336495324318,2.481348194541883,194540.93205046843,t=0.15000000596 element=634 point=7,244992.93631494016,6079.1278020059135,t=1 element=597 point=6,0,0.0,0.0001,0
final,fuel_stress,5120,0.11134544436573399,0.10104336495324318,0.6865484494569705,194540.93205046843,t=1 element=614 point=7,9484377.820300125,65114.84886591131,t=1 element=597 point=6,0,0.0,0.0001,0
all_frames,fuel_equivalent_stress,102400,0.056947952021401835,0.059232238192790006,1.7170716737701666,143627.13795616478,t=0.15000000596 element=639 point=6,858230.920769255,14736.44003606576,t=1 element=637 point=8,0,0.0,0.0001,0
final,fuel_equivalent_stress,5120,0.09042381187449317,0.059232238192790006,0.7181586564153392,143627.13795616478,t=1 element=235 point=5,1915867.7721131742,13758.970250902465,t=1 element=637 point=8,0,0.0,0.0001,0
all_frames,cladding_stress,81920,0.00114722383343942,0.001449174755736106,0.018864490564843208,1865.9980990277875,t=0.25 element=728 point=5,7983798.763945586,1506.1029645405838,t=0.300000011921 element=728 point=5,0,0.0,0.0001,1
final,cladding_stress,4096,0.0015091700196639252,0.0012039173707074117,0.0030076796962015618,1550.197804808884,t=1 element=924 point=5,50947815.56392362,1532.34710437435,t=1 element=892 point=1,0,0.0,0.0001,1
all_frames,cladding_equivalent_stress,81920,0.0003902871203572383,0.0005534005484089896,0.006983605498368922,780.2936088219285,t=0.25 element=724 point=5,9604145.452610767,670.7156298998743,t=1 element=1144 point=5,0,0.0,0.0001,1
final,cladding_equivalent_stress,4096,0.0004762700491850143,0.0005534005484089896,0.0014070558516203577,780.2936088219285,t=1 element=1144 point=5,55455766.58690178,780.2936088219285,t=1 element=1144 point=5,0,0.0,0.0001,1
all_frames,fuel_elastic_strain,102400,0.06652140576194966,0.10752748113886271,1.7605274821693149,8.220930271757344e-07,t=0.15000000596 element=597 point=6,4.893322828039945e-06,8.614829317890796e-08,t=1 element=620 point=8,0,0.0,1e-12,0
final,fuel_elastic_strain,5120,0.1040417839690617,0.10752748113886271,0.36158668871342214,8.220930271757344e-07,t=1 element=620 point=8,0.0002273571049036292,8.220930271757344e-07,t=1 element=620 point=8,0,0.0,1e-12,0
all_frames,cladding_elastic_strain,81920,0.0008271048675723592,0.003163503179043996,0.013592278490552182,3.166490936604451e-08,t=0.25 element=728 point=5,0.00013602996522998824,1.84895717046613e-08,t=0.550000011921 element=1140 point=7,0,0.0,1e-12,1
final,cladding_elastic_strain,4096,0.0010764512569894468,0.0016739011009542703,0.002023080877966171,1.6754820099613985e-08,t=1 element=924 point=5,0.000819094393428408,1.657094204594312e-08,t=1 element=892 point=1,0,0.0,1e-12,1
all_frames,fuel_plastic_strain,102400,nan,nan,nan,0.0,t=0.0500000007451 element=1 point=1,0.0,0.0,t=0.0500000007451 element=1 point=1,102400,0.0,1e-12,1
final,fuel_plastic_strain,5120,nan,nan,nan,0.0,t=1 element=1 point=1,0.0,0.0,t=1 element=1 point=1,5120,0.0,1e-12,1
all_frames,cladding_plastic_strain,81920,0.0004834900244201911,0.001708478562690393,0.010117348932108942,7.002660123262893e-08,t=0.300000011921 element=724 point=5,0.0006921437789932191,7.002660123262893e-08,t=0.300000011921 element=724 point=5,0,0.0,1e-12,1
final,cladding_plastic_strain,4096,0.00046364544346162403,0.0010922866318954978,0.0017684001737494832,4.477031323297826e-08,t=1 element=672 point=1,0.00028846548505357257,5.101224138894667e-09,t=1 element=1144 point=5,0,0.0,1e-12,1
all_frames,fuel_creep_strain,102400,nan,nan,nan,0.0,t=0.0500000007451 element=1 point=1,0.0,0.0,t=0.0500000007451 element=1 point=1,102400,0.0,1e-12,1
final,fuel_creep_strain,5120,nan,nan,nan,0.0,t=1 element=1 point=1,0.0,0.0,t=1 element=1 point=1,5120,0.0,1e-12,1
all_frames,cladding_creep_strain,81920,0.0010032535093561104,0.001625775578559016,0.019133151193177766,1.508518469361109e-09,t=0.25 element=724 point=5,6.44376832145223e-08,1.2328959354815483e-11,t=1 element=1112 point=5,0,0.0,1e-12,1
final,cladding_creep_strain,4096,0.0011402714508315865,0.001625775578559016,0.0034489376271768925,1.508518469361109e-09,t=1 element=701 point=2,3.0528868504237473e-06,1.0529216329940016e-10,t=1 element=1112 point=5,0,0.0,1e-12,1
all_frames,cladding_equiv_plastic,81920,0.0004005541281207661,0.0005616202798766523,0.007795261407226939,3.9014680445949995e-08,t=0.25 element=724 point=5,0.00043020727263053853,3.353578149445195e-08,t=1 element=1144 point=5,0,0.0,1e-12,1
final,cladding_equiv_plastic,4096,0.00048547456307517823,0.0005616202798766523,0.001432894361470037,3.9014680445949995e-08,t=1 element=1144 point=5,0.002722788329345089,3.9014680445949995e-08,t=1 element=1144 point=5,0,0.0,1e-12,1
