quantity	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	maximum_absolute_difference	zero_reference_count	maximum_zero_reference_absolute_difference	status_or_note
temperature	1.29981e-5	0	0.000134284	0.000942565 K	0	0 K	pass 0.5 percent
displacement_vector	0.00382850	0.00593139	0.0678457	4.74580e-8 m	175	0 m	pass 0.5 percent
reaction_force_vector	0.0772653	0.205813	0.447050	0.0478761 N	8575	0 N	pass 0.5 percent
stress_tensor	0.0194975	0.0690957	0.103000	163386 Pa	0	0 Pa	pass 0.5 percent
logarithmic_strain_tensor	0.0161914	0.0344672	0.193764	1.11680e-5	0	0	pass 0.5 percent
elastic_strain_tensor	0.0179953	0.0721429	0.133755	1.26141e-6	0	0	pass 0.5 percent
plastic_strain_tensor	0.0128765	0.0405616	0.115251	3.98266e-6	0	0	pass 0.5 percent
equivalent_plastic_strain	0.00857108	0.000734885	0.0807925	2.88174e-6	0	0	pass 0.5 percent
creep_strain_tensor	0.0285782	0.0547647	0.243385	5.51657e-6	0	0	pass 0.5 percent
equivalent_creep_strain	0.0207731	0.00368103	0.210174	4.07971e-6	0	0	pass 0.5 percent
internal_energy	0.0335652	0.0408921	0.0408921	0.000114204 J	0	0 J	pass 0.5 percent
elastic_energy	0.00141813	0.00144492	0.00145049	4.47499e-7 J	0	0 J	pass 0.5 percent
plastic_dissipation	0.000210586	0.0000277210	0.000401917	3.15514e-7 J	0	0 J	pass 0.5 percent
creep_dissipation	0.112883	0.120305	0.120305	0.000114608 J	0	0 J	pass 0.5 percent
boundary_heat_rate	0.00395108	0.00242375	0.00663346	0.000341751 W	0	0 W	pass 0.5 percent
mechanical_hourglass_energy	0.0273523	0.0308538	0.0308538	6.84540e-7 J	0	0 J	pass 0.5 percent
abaqus_artificial_energy_fraction	-	-	0.788155	0.00221866 J	-	-	maximum ALLAE divided by internal energy
compared_rows	-	-	-	8925 nodal; 6000 integration; 5 energy	-	-	all five accepted increments
active_histories	-	-	-	maximum equivalent plastic 0.00802400; maximum equivalent creep 0.00823199	-	-	all 6000 material-point rows have nonzero plastic and creep references
solver_counts	-	-	-	Fuelsim 26 nonlinear and 26 Jacobian; Abaqus 14 nonlinear and 14 decompositions	-	-	5 increments and no cutback in either solver
external_wall_time	-	-	-	Fuelsim samples 5.30, 5.34, 5.34 s, median 5.34 s; Abaqus samples 5.389362, 5.4808106, 5.3975893 s, median 5.3975893 s	-	-	Fuelsim divided by Abaqus 0.989331; Fuelsim uses 1.06694 percent less wall time
