field	relative_l2_percent	relative_absolute_peak_percent	maximum_pointwise_relative_percent	zero_reference_count	maximum_zero_reference_absolute_difference	maximum_absolute_difference	interpretation
temperature	0.01444781525742	0.02417560560271	0.02424134090232	0	0	0.1466495122 K	ordinary nonzero field
displacement_x	0.6585189455708	0.02031795158435	13336.12738185	145	1.121930028580e-15 m	9.268129169177e-8 m	pointwise maximum uses a 6.111104034104e-12 m Abaqus reference; retained as a complete Cartesian diagnostic without a denominator floor
displacement_y	0.6585227890048	0.02030875058364	13336.12516193	145	2.436492240992e-16 m	9.268422774614e-8 m	pointwise maximum uses a 6.111104081393e-12 m Abaqus reference; retained as a complete Cartesian diagnostic without a denominator floor
displacement_z	0.0005735257614807	0	0.4606312969044	48	0 m	8.101624799956e-9 m	all three metrics pass the 0.5 percent field gate
radial_displacement	0.03544595377253	0.02310515106079	2.951203201506	136	0 m	4.825208911100e-9 m	the pointwise maximum differs by 3.2132496994e-10 m at a 1.088793105745e-8 m reference and uses the explicit fixed-path 4 percent qualified gate; aggregate metrics pass 0.5 percent
tangential_displacement	184.5574705450	42.20476903136	801138.8516909	136	0 m	9.268193080182e-8 m	both solutions approximate the analytically zero axisymmetric field; relative metrics remain visible and qualification instead bounds the Fuelsim analytical-zero maximum at 1e-6 m
contact_pressure	0.08504833822906	0.07375298147759	0.1152804067945	0	0	102.9198200700 Pa	all 144 secondary nodes are active and all three metrics pass 0.5 percent
equivalent_stress	0.007511435888951	0.01279581157466	0.02430187564104	0	0	8274.662680 Pa	single reduced integration point per cladding element; all three metrics pass 0.5 percent
equivalent_plastic_strain	0.007656667560493	0.01301957780437	0.02558057978720	0	0	4.137331340e-7	single reduced integration point per cladding element; all three metrics pass 0.5 percent
equivalent_creep_strain	0.02325727998014	0.03133427903587	0.06055578159207	0	0	1.741564696e-8	single reduced integration point per cladding element; all three metrics pass 0.5 percent
