case	family	through_thickness_elements	tangential_elements	time_step_s	distortion_m	penalty_pa_m	friction_coefficient	slip_tolerance	pressure_conductance_w_m2_k_pa	primary_poisson	secondary_poisson	traction_controlled	elastic_only	initial_gap_m	path	end_time_s	expected_frames
b524_friction_high	b524	2	1	0.02	0	1000000000	0.1	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_friction_low	b524	2	1	0.02	0	1000000000	0.01	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_mesh_coarse	b524	2	1	0.02	0	1000000000	0.05	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_mesh_fine	b524	4	1	0.02	0	1000000000	0.05	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_mesh_medium	b524	3	1	0.02	0	1000000000	0.05	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_penalty_high	b524	2	1	0.02	0	2000000000	0.05	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_penalty_low	b524	2	1	0.02	0	500000000	0.05	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_slip_high	b524	2	1	0.02	0	1000000000	0.05	0.01	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_slip_low	b524	2	1	0.02	0	1000000000	0.05	0.0025	0.001	0.28	0.3	0	0	0	monotonic	0.4	20
b524_thermal_high	b524	2	1	0.02	0	1000000000	0.05	0.005	0.002	0.28	0.3	0	0	0	monotonic	0.4	20
b524_thermal_low	b524	2	1	0.02	0	1000000000	0.05	0.005	0.0005	0.28	0.3	0	0	0	monotonic	0.4	20
b524_time_coarse	b524	2	1	0.04	0	1000000000	0.05	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	10
b524_time_fine	b524	2	1	0.01	0	1000000000	0.05	0.005	0.001	0.28	0.3	0	0	0	monotonic	0.4	40
b525_poisson_030	b525	1	16	0.02	0.08	1000000000	0.2	0.005	0.001	0.3	0.3	1	1	0	monotonic	0.4	20
b525_poisson_045	b525	1	16	0.02	0.08	1000000000	0.2	0.005	0.001	0.45	0.45	1	1	0	monotonic	0.4	20
b525_poisson_049	b525	1	16	0.02	0.08	1000000000	0.2	0.005	0.001	0.49	0.49	1	1	0	monotonic	0.4	20
b525_poisson_0499	b525	1	16	0.02	0.08	1000000000	0.2	0.005	0.001	0.499	0.499	1	1	0	monotonic	0.4	20
b525_poisson_0499_refined	b525	2	16	0.02	0.08	1000000000	0.2	0.005	0.001	0.499	0.499	1	1	0	monotonic	0.4	20
