scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,zero_absolute_tolerance,strict_0_1_percent_passed
all_frames,temperature_corner,32340,1.1374121604546447e-06,5.435074383441386e-09,1.7164343068392295e-05,0.00010343988219574385,t=1 node=1030,602.6439915794143,0.00010343988219574385,t=1 node=1030,0,0.0,1e-10,1
final,temperature_corner,1617,2.662742145950197e-06,5.435074383441386e-09,1.7164343068392295e-05,0.00010343988219574385,t=1 node=1030,602.6439915794143,0.00010343988219574385,t=1 node=1030,0,0.0,1e-10,1
all_frames,temperature_interpolated,87040,1.0336896060999661e-06,6.0965841190529404e-09,1.7164321630376026e-05,0.00010343975225168833,t=1 node=4422,602.6439872149042,0.00010343975225168833,t=1 node=4422,0,0.0,1e-10,1
final,temperature_interpolated,4352,2.41362903479195e-06,6.0965841190529404e-09,1.7164321630376026e-05,0.00010343975225168833,t=1 node=4422,602.6439872149042,0.00010343975225168833,t=1 node=4422,0,0.0,1e-10,1
all_frames,displacement,119380,1.507541763221103e-06,9.270862772555445e-06,100.0,5.562542922065533e-11,t=0.0500000007451 node=802,6.862248352629374e-37,6.862248352629374e-37,t=0.25 node=5934,0,0.0,1e-12,0
final,displacement,5969,3.0670248335352267e-07,1.0448980892831096e-06,100.0,6.269417004022211e-12,t=1 node=802,1.0990964458392704e-35,1.0990964458392704e-35,t=1 node=1577,0,0.0,1e-12,0
all_frames,reaction,119380,0.00044540118690642014,0.001048176314240296,5518.452852241255,0.00048715937497270873,t=0.15000000596 node=1,3.125239243445085e-13,1.724648541692583e-11,t=0.550000011921 node=5843,103980,0.00048715937497270873,1e-05,0
final,reaction,5969,1.1041246157678666e-05,1.2787616651781651e-05,1578.0068256957306,5.943281918164395e-06,t=1 node=1,1.8113380342851306e-12,2.8583037817442236e-11,t=1 node=5935,5199,2.0511545211994615e-10,1e-05,0
all_frames,heat_reaction,32340,0.0007237035843515384,0.0005568142050449013,0.009821188752212863,1.2369909340240182e-06,t=1 node=867,0.0019441284570133406,1.9093652534876368e-07,t=1 node=963,26900,2.6751300778509943e-10,1e-07,1
final,heat_reaction,1617,0.0009413397079786065,0.0005568142050449013,0.009821188752212863,1.2369909340240182e-06,t=1 node=867,0.0019441284570133406,1.9093652534876368e-07,t=1 node=963,1345,6.9909356081865326e-15,1e-07,1
all_frames,contact_gap,8320,0.0007339274877685174,0.00033937242066092304,0.00911605521793516,1.9474179160215455e-10,t=0.25 node=251,1.0424760090208399e-07,9.503268861606647e-12,t=1 node=1738,0,0.0,1e-10,1
final,contact_gap,416,0.0009031042597597491,0.00033937242066092304,0.004181725002575449,1.9474179160215455e-10,t=1 node=51,4.546268191861965e-06,1.9011243366322657e-10,t=1 node=1738,0,0.0,1e-10,1
all_frames,contact_pressure,8320,0.0007440039823101083,0.00039254600582181804,0.006622270033576418,1.952744340262143,t=0.25 node=2245,508.92726015018343,0.0337025374416271,t=1 node=51,1808,0.0,0.0001,1
final,contact_pressure,416,0.0009064620239731137,0.00039254600582181804,0.00413968880392905,1.952744340262143,t=1 node=51,47171.28346480439,1.952744340262143,t=1 node=51,0,0.0,0.0001,1
all_frames,contact_normal_force,8320,0.0006417330483370342,0.0016336377832145566,0.00462432386270982,1.03554211535421e-06,t=0.25 node=3657,0.0019829343622072278,9.16973068934216e-08,t=1 node=1952,1712,0.0,1e-05,1
final,contact_normal_force,416,0.0007532790207630666,0.0016336377832145566,0.0030183579657048145,1.03554211535421e-06,t=1 node=1950,0.018925066775271705,5.712262605263688e-07,t=1 node=1952,0,0.0,1e-05,1
all_frames,contact_tangential_force,8320,0.0006426585114135673,0.0016694353462697686,0.004624346964774687,2.1164645400990862e-09,t=0.25 node=3657,3.965876923132389e-06,1.8339590912157238e-10,t=1 node=1846,1712,0.0,1e-05,1
final,contact_tangential_force,416,0.0007546446620290048,0.0016694353462697686,0.003082893272474645,2.1164645400990862e-09,t=1 node=1935,3.7857721511269066e-05,1.1671131495831004e-09,t=1 node=1846,0,0.0,1e-05,1
all_frames,contact_slip,8320,0.003582908378646377,0.004788751997852239,100.0,2.5481614835353847e-08,t=0.0500000007451 node=25,4.8601755407295594e-21,4.8601755407295594e-21,t=1 node=140,0,0.0,1e-12,0
final,contact_slip,416,0.0037056026543029912,0.004788751997852239,0.005426621738380573,2.5481614835353847e-08,t=1 node=25,0.00037581079075466874,2.0393830066272783e-08,t=1 node=140,0,0.0,1e-12,1
all_frames,contact_heat_rate,20,3.399488645241485e-05,4.139089331502544e-05,0.00039513606702126417,5.929578199115326e-06,t=0.15000000596,0.5431032401933267,2.1459967831649607e-06,t=1,0,0.0,1e-07,1
final,contact_heat_rate,1,4.139089331502544e-05,4.139089331502544e-05,4.139089331502544e-05,5.929578199115326e-06,t=1,14.325803876677412,5.929578199115326e-06,t=1,0,0.0,1e-07,1
all_frames,fuel_stress,102400,5.380320143728633e-06,9.46146361880077e-06,0.0005073844499501948,18.221617954937408,t=0.15000000596 element=594 point=8,260937.99880793112,1.323958829962667,t=1 element=37 point=2,0,0.0,0.0001,1
final,fuel_stress,5120,7.119129296440407e-06,9.46146361880077e-06,3.671027350460636e-05,18.221617954937408,t=1 element=173 point=6,11783558.627229199,4.325776600631477,t=1 element=37 point=2,0,0.0,0.0001,1
all_frames,fuel_equivalent_stress,102400,3.3462455547397386e-06,2.254638097732795e-06,0.0002865177122566596,12.08293305337429,t=0.15000000596 element=600 point=8,858240.2111786474,2.4590102187357843,t=1 element=78 point=4,0,0.0,0.0001,1
final,fuel_equivalent_stress,5120,4.3654756126259175e-06,2.254638097732795e-06,9.729621691139165e-05,12.08293305337429,t=1 element=214 point=7,1928851.516062424,1.8766995549667627,t=1 element=78 point=4,0,0.0,0.0001,1
all_frames,cladding_stress,81920,0.00024384182428073084,0.0014356360552883558,0.01224714409463644,1848.5757119050995,t=0.25 element=1150 point=5,12176689.817253545,1491.2967478759645,t=0.550000011921 element=1140 point=7,0,0.0,0.0001,1
final,cladding_stress,4096,3.781065501728708e-05,8.068554088887773e-05,0.0002144570513253231,103.89355341117206,t=1 element=1141 point=8,48444923.01331213,103.89355341117206,t=1 element=1141 point=8,0,0.0,0.0001,1
all_frames,cladding_equivalent_stress,81920,8.3244564126623e-05,9.867757230790587e-06,0.0019292843497803567,589.5090661123395,t=0.25 element=1152 point=5,15726438.67340768,303.4077201038599,t=0.550000011921 element=1137 point=7,0,0.0,0.0001,1
final,cladding_equivalent_stress,4096,1.928755219479212e-05,9.867757230790587e-06,0.00011679105663929684,63.64923840761185,t=1 element=1138 point=8,54498383.89953885,63.64923840761185,t=1 element=1138 point=8,0,0.0,0.0001,1
all_frames,fuel_elastic_strain,102400,5.9058931062699255e-06,1.1414867835101358e-05,0.00031933473546933463,8.731000906152644e-11,t=0.15000000596 element=600 point=8,4.893322828037803e-06,1.562607950857508e-11,t=1 element=100 point=8,0,0.0,1e-12,1
final,fuel_elastic_strain,5120,7.959530620013534e-06,1.1414867835101358e-05,3.278094146523853e-05,8.731000906152644e-11,t=1 element=173 point=6,6.540582181894555e-05,2.144064416532675e-11,t=1 element=100 point=8,0,0.0,1e-12,1
all_frames,cladding_elastic_strain,81920,0.00022123169590775672,0.0032008354354344285,0.007799982635544316,3.203876228549808e-08,t=0.0500000007451 element=690 point=1,2.00507710747477e-05,1.5639566621230633e-09,t=0.550000011921 element=1140 point=7,0,0.0,1e-12,1
final,cladding_elastic_strain,4096,3.2437713142092865e-05,0.00014519720827429076,0.00018685162825611313,1.4533514559727997e-09,t=1 element=1152 point=7,0.0007778104314834898,1.4533514559727997e-09,t=1 element=1152 point=7,0,0.0,1e-12,1
all_frames,fuel_plastic_strain,102400,nan,nan,nan,0.0,t=0.0500000007451 element=1 point=1,0.0,0.0,t=0.0500000007451 element=1 point=1,102400,0.0,1e-12,1
final,fuel_plastic_strain,5120,nan,nan,nan,0.0,t=1 element=1 point=1,0.0,0.0,t=1 element=1 point=1,5120,0.0,1e-12,1
all_frames,cladding_plastic_strain,81920,0.00010997617959483682,0.0008861989436360077,0.009453496623139396,3.632345775744185e-08,t=0.0500000007451 element=698 point=1,3.38870422154646e-05,3.203510391520768e-09,t=0.550000011921 element=1145 point=8,0,0.0,1e-12,1
final,cladding_plastic_strain,4096,4.68237443050608e-05,0.00015125519962003547,0.00022666402218858873,6.199637105693068e-09,t=1 element=695 point=1,0.0008293647864541877,1.8798715835928615e-09,t=1 element=1144 point=8,0,0.0,1e-12,1
all_frames,fuel_creep_strain,102400,nan,nan,nan,0.0,t=0.0500000007451 element=1 point=1,0.0,0.0,t=0.0500000007451 element=1 point=1,102400,0.0,1e-12,1
