scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,zero_absolute_tolerance,strict_0_1_percent_passed
all_frames,temperature_corner,32340,0.0011472473512388916,0.001933654903828982,0.008585004794793898,0.054175091959336896,t=1 node=741,631.0432347363353,0.054175091959336896,t=1 node=741,0,0.0,1e-10,1
final,temperature_corner,1617,0.003336886619630916,0.001933654903828982,0.008585004794793898,0.054175091959336896,t=1 node=741,631.0432347363353,0.054175091959336896,t=1 node=741,0,0.0,1e-10,1
all_frames,temperature_interpolated,87040,0.0010666426225568772,0.0019342528613675702,0.008584747077672096,0.054173459769685905,t=1 node=3779,631.0431662056138,0.054173459769685905,t=1 node=3715,0,0.0,1e-10,1
final,temperature_interpolated,4352,0.003117015539591504,0.0019342528613675702,0.008584747077672096,0.054173459769685905,t=1 node=3779,631.0431662056138,0.054173459769685905,t=1 node=3715,0,0.0,1e-10,1
all_frames,displacement,119380,3.8737286293901785e-05,0.00013077727632309776,100.0,7.846672204136693e-10,t=0.0500000007451 node=802,6.862248352629374e-37,6.862248352629374e-37,t=1 node=1785,0,0.0,1e-12,0
final,displacement,5969,7.156734119594606e-05,0.00013077727632309776,100.0,7.846672204136693e-10,t=1 node=802,1.0990889165561269e-35,1.0990889165561269e-35,t=1 node=1785,0,0.0,1e-12,0
all_frames,reaction,119380,0.07667318417711819,0.14226889024580092,5518.452852241255,0.06603695118733555,t=0.15000000596 node=1,3.125239243445085e-13,1.724648541692583e-11,t=1 node=3789,103980,0.00048715937497270873,1e-05,0
final,reaction,5969,0.1251415283594173,0.14226889024580092,5283.293792456459,0.06603695118733555,t=1 node=1,5.672027623423531e-13,2.99669883334751e-11,t=1 node=3789,5199,2.0511545211994615e-10,1e-05,0
all_frames,heat_reaction,32340,0.10000794684317237,0.16184801052081133,0.16315554516163608,0.00012439847490838818,t=1 node=1092,0.07450837135471672,0.00012156453947484436,t=1 node=1188,26900,2.6751300778509943e-10,1e-07,0
final,heat_reaction,1617,0.1621461648079356,0.16184801052081133,0.16315554516163608,0.00012439847490838818,t=1 node=1092,0.07450837135471672,0.00012156453947484436,t=1 node=1188,1345,6.9909356081865326e-15,1e-07,0
