scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,zero_absolute_tolerance,strict_0_1_percent_passed
all_frames,temperature_corner,32340,0.0012072874027237637,0.0017959305885543045,0.011072748318896675,0.06702387987309066,t=0.300000011921 node=27,605.3048253495311,0.06702387987309066,t=0.300000011921 node=27,0,0.0,1e-10,1
final,temperature_corner,1617,0.0032981915663018316,0.0017959305885543045,0.008909145876763407,0.056222957375439364,t=1 node=25,631.0701177548183,0.056222957375439364,t=1 node=25,0,0.0,1e-10,1
all_frames,temperature_interpolated,87040,0.0011043697954230896,0.0018063038634312278,0.011072745033016716,0.0670238599878985,t=0.300000011921 node=1733,605.3048253892483,0.0670238599878985,t=0.300000011921 node=1733,0,0.0,1e-10,1
final,temperature_interpolated,4352,0.003065654798833005,0.0018063038634312278,0.00890890608723533,0.056221438075226615,t=1 node=1935,631.070049731253,0.056221438075226615,t=1 node=1935,0,0.0,1e-10,1
all_frames,displacement,119380,3.7576575401858526e-05,0.00011900883267879967,100.0,7.140562379662901e-10,t=0.0500000007451 node=802,6.862248352629374e-37,6.862248352629374e-37,t=1 node=35,0,0.0,1e-12,0
final,displacement,5969,6.585189702959105e-05,0.00011900883267879967,100.0,7.140562379662901e-10,t=1 node=802,1.0990889165561269e-35,1.0990889165561269e-35,t=1 node=35,0,0.0,1e-12,0
all_frames,reaction,119380,0.07721086000107875,0.14239240004659898,12099.510082108967,0.06609428073192092,t=0.10000000149 node=1,1.3519092509029679e-13,1.635743961139684e-11,t=1 node=3789,103980,0.00048715295017827674,1e-05,0
final,reaction,5969,0.12254561638679187,0.14239240004659898,4560.54154485632,0.06609428073192092,t=1 node=1,5.672027623423531e-13,2.5867517620195668e-11,t=1 node=3789,5199,2.2567693941248846e-10,1e-05,0
all_frames,heat_reaction,32340,0.1304033969628887,0.16590809657434252,6.495521449452054,0.00020559389999595147,t=0.25 node=807,0.00015324824143848765,9.954272393545037e-06,t=0.300000011921 node=969,26900,4.672855417496222e-10,1e-07,0
final,heat_reaction,1617,0.16632457329467648,0.16590809657434252,0.16915554879619618,0.00012828894901077692,t=1 node=1092,0.07450837135471672,0.0001260350444641789,t=1 node=1155,1345,7.278899705198683e-15,1e-07,0
all_frames,contact_gap,8320,0.0017739822753684116,0.0011040457771249767,0.4186651273711982,3.309013990397523e-10,t=0.300000011921 node=161,5.297921799317856e-08,2.218055104914058e-10,t=1 node=1740,0,0.0,1e-10,0
